week,week_start,week_end,month,platform,campaign_id,campaign_name,campaign_objective,spend,impressions,clicks,ctr_pct,cpc,cpm,sessions,add_to_cart,atc_rate_pct,checkouts,checkout_rate_pct,orders,cvr_pct,revenue,new_customers,cac,roas,contribution_roas,status
2024-W15,08/04/2024,14/04/2024,2024-04,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,657.91,2697,176,6.55,3.74,243.9,165,7,4.6,4,68.12,3,2.36,1671.49,1,657.91,2.54,1.35,active
2024-W15,08/04/2024,14/04/2024,2024-04,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,581.64,2210,95,4.33,6.12,263.17,90,5,5.85,2,57.69,1,1.37,744.69,1,581.64,1.28,0.63,active
2024-W15,08/04/2024,14/04/2024,2024-04,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,3338.43,11228,163,1.46,20.48,297.31,151,11,7.36,7,68.86,4,2.78,2402.9,2,1669.21,0.72,0.38,active
2024-W15,08/04/2024,14/04/2024,2024-04,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,796.33,2117,51,2.43,15.61,376.06,44,3,7.15,1,64.24,1,2.64,595.72,1,796.33,0.75,0.46,active
2024-W15,08/04/2024,14/04/2024,2024-04,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1334.63,3228,71,2.23,18.8,413.4,64,3,5.01,1,57.67,2,1.63,1446.32,1,1334.63,1.08,0.6,active
2024-W16,15/04/2024,21/04/2024,2024-04,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1755.57,9034,481,5.33,3.65,194.32,450,30,6.87,17,58.23,12,2.78,7314.51,7,250.8,4.17,2.23,active
2024-W16,15/04/2024,21/04/2024,2024-04,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,2685.96,8436,482,5.72,5.57,318.37,460,20,4.54,13,65.64,16,3.49,9039.66,13,206.61,3.37,1.95,active
2024-W16,15/04/2024,21/04/2024,2024-04,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,986.33,3369,209,6.21,4.72,292.76,194,11,6.14,7,64.98,5,2.99,4096.2,3,328.78,4.15,2.19,active
2024-W16,15/04/2024,21/04/2024,2024-04,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,686.32,2928,114,3.91,6.02,234.36,107,6,5.79,3,54.18,3,3.01,2041.17,2,343.16,2.97,1.75,active
2024-W16,15/04/2024,21/04/2024,2024-04,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,658.54,2402,127,5.32,5.19,274.06,121,8,6.86,5,69.28,1,1.43,558.38,1,658.54,0.85,0.51,active
2024-W16,15/04/2024,21/04/2024,2024-04,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,3780.49,10146,151,1.49,25.04,372.58,141,6,4.84,3,51.96,4,1.93,2448.5,3,1260.16,0.65,0.33,active
2024-W16,15/04/2024,21/04/2024,2024-04,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,863.56,3173,52,1.67,16.61,272.11,49,2,5.38,1,69.06,2,2.59,1082.73,1,863.56,1.25,0.61,active
2024-W16,15/04/2024,21/04/2024,2024-04,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1400.16,3558,64,1.81,21.88,393.5,57,2,3.72,1,68.79,2,1.3,1285.52,1,1400.16,0.92,0.54,active
2024-W17,22/04/2024,28/04/2024,2024-04,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1975.66,8094,384,4.75,5.14,244.06,361,23,6.62,13,60.73,9,2.73,6393.15,5,395.13,3.24,1.93,active
2024-W17,22/04/2024,28/04/2024,2024-04,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,2836.94,9899,426,4.31,6.66,286.57,403,22,5.46,14,66.8,4,1.16,2840.19,2,1418.47,1.0,0.53,active
2024-W17,22/04/2024,28/04/2024,2024-04,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,1000.51,4281,167,3.91,5.99,233.66,148,7,4.99,3,50.31,2,1.83,1154.35,1,1000.51,1.15,0.58,active
2024-W17,22/04/2024,28/04/2024,2024-04,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,721.28,3357,197,5.88,3.66,214.84,178,7,4.02,4,58.44,4,2.61,3068.61,2,360.64,4.25,2.54,active
2024-W17,22/04/2024,28/04/2024,2024-04,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,569.88,2021,112,5.59,5.09,281.9,101,7,7.05,5,71.9,1,1.89,627.78,1,569.88,1.1,0.54,active
2024-W17,22/04/2024,28/04/2024,2024-04,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,3898.54,9658,178,1.85,21.9,403.64,158,10,6.41,5,52.89,4,3.03,2282.78,2,1949.27,0.59,0.31,active
2024-W17,22/04/2024,28/04/2024,2024-04,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,932.52,4099,106,2.6,8.8,227.47,94,5,5.64,2,51.07,3,3.78,2148.21,1,932.52,2.3,1.21,active
2024-W17,22/04/2024,28/04/2024,2024-04,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1463.76,4825,87,1.81,16.82,303.36,80,4,5.4,2,53.37,2,2.92,1220.67,1,1463.76,0.83,0.44,active
2024-W18,29/04/2024,05/05/2024,2024-04,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1870.19,8586,482,5.62,3.88,217.8,425,28,6.82,14,52.31,12,2.98,6650.45,7,267.17,3.56,2.15,active
2024-W18,29/04/2024,05/05/2024,2024-04,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,2783.03,13382,614,4.59,4.53,207.96,566,24,4.31,15,65.48,9,1.76,6020.16,6,463.84,2.16,1.33,active
2024-W18,29/04/2024,05/05/2024,2024-04,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,993.55,4390,167,3.81,5.95,226.28,156,11,7.13,7,68.38,4,2.84,2188.1,3,331.18,2.2,1.32,active
2024-W18,29/04/2024,05/05/2024,2024-04,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,737.56,3798,173,4.57,4.26,194.18,154,11,7.45,6,56.51,3,2.25,1717.23,1,737.56,2.33,1.41,active
2024-W18,29/04/2024,05/05/2024,2024-04,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,569.84,1950,92,4.74,6.19,292.22,86,3,3.88,2,66.68,1,1.03,719.01,1,569.84,1.26,0.63,active
2024-W18,29/04/2024,05/05/2024,2024-04,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,3399.64,11054,242,2.19,14.05,307.54,231,8,3.87,5,67.93,3,1.43,2426.08,2,1699.82,0.71,0.4,active
2024-W18,29/04/2024,05/05/2024,2024-04,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,875.31,2243,55,2.48,15.91,390.13,51,3,6.69,1,52.49,1,2.92,802.74,1,875.31,0.92,0.56,active
2024-W18,29/04/2024,05/05/2024,2024-04,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1371.79,4056,100,2.48,13.72,338.15,93,3,4.23,1,58.35,1,1.94,725.34,1,1371.79,0.53,0.33,active
2024-W19,06/05/2024,12/05/2024,2024-05,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,2004.53,10109,663,6.56,3.02,198.29,584,30,5.15,15,51.01,9,1.66,6582.33,7,286.36,3.28,1.89,active
2024-W19,06/05/2024,12/05/2024,2024-05,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1660.16,6367,350,5.5,4.74,260.73,338,20,6.18,11,57.44,8,2.42,4388.58,6,276.69,2.64,1.38,active
2024-W19,06/05/2024,12/05/2024,2024-05,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,845.69,3702,215,5.83,3.93,228.4,195,13,6.86,8,62.28,7,3.76,4991.14,4,211.42,5.9,3.61,active
2024-W19,06/05/2024,12/05/2024,2024-05,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,758.61,2534,162,6.41,4.68,299.26,142,7,5.47,3,55.3,5,3.71,2934.06,3,252.87,3.87,2.37,active
2024-W19,06/05/2024,12/05/2024,2024-05,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,586.07,2752,142,5.18,4.13,212.9,134,7,5.29,4,68.84,2,2.2,1338.42,1,586.07,2.28,1.38,active
2024-W19,06/05/2024,12/05/2024,2024-05,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,1990.2,6579,137,2.09,14.53,302.47,119,4,3.86,2,63.29,3,2.7,2017.5,2,995.1,1.01,0.59,active
2024-W19,06/05/2024,12/05/2024,2024-05,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,937.04,2285,40,1.78,23.43,410.07,35,1,4.39,0,60.0,1,2.52,661.94,1,937.04,0.71,0.38,active
2024-W19,06/05/2024,12/05/2024,2024-05,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1472.55,6064,146,2.41,10.09,242.8,130,6,4.87,4,68.26,4,3.7,2706.38,3,490.85,1.84,1.06,active
2024-W20,13/05/2024,19/05/2024,2024-05,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1603.78,7901,333,4.22,4.82,202.98,313,20,6.39,10,52.35,8,2.67,6392.52,5,320.76,3.99,2.37,active
2024-W20,13/05/2024,19/05/2024,2024-05,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1543.92,5334,317,5.95,4.87,289.4,279,14,5.16,9,70.39,9,3.33,6764.79,6,257.32,4.38,2.36,active
2024-W20,13/05/2024,19/05/2024,2024-05,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,934.23,2976,124,4.2,7.53,313.87,114,6,5.62,3,51.07,4,3.61,2659.52,3,311.41,2.85,1.43,active
2024-W20,13/05/2024,19/05/2024,2024-05,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,770.76,3763,208,5.54,3.71,204.81,196,7,4.01,4,58.52,5,2.64,3356.17,3,256.92,4.35,2.16,active
2024-W20,13/05/2024,19/05/2024,2024-05,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,669.05,2170,132,6.09,5.07,308.23,118,8,7.35,5,71.35,2,2.21,1287.65,1,669.05,1.92,1.16,active
2024-W20,13/05/2024,19/05/2024,2024-05,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2331.17,8332,193,2.32,12.08,279.78,184,11,6.35,7,70.58,5,2.73,3536.25,3,777.06,1.52,0.9,active
2024-W20,13/05/2024,19/05/2024,2024-05,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,866.58,2444,67,2.77,12.93,354.47,62,4,7.33,2,61.09,1,2.91,554.62,1,866.58,0.64,0.37,active
2024-W20,13/05/2024,19/05/2024,2024-05,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1393.4,4170,94,2.27,14.82,334.13,85,5,6.49,3,68.51,2,1.73,1524.98,1,1393.4,1.09,0.55,active
2024-W21,20/05/2024,26/05/2024,2024-05,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1594.92,7960,462,5.81,3.45,200.35,411,26,6.5,13,53.54,7,1.73,5402.7,5,318.98,3.39,1.98,active
2024-W21,20/05/2024,26/05/2024,2024-05,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1483.3,5195,202,3.9,7.34,285.5,192,7,3.91,4,69.1,5,3.04,3713.62,3,494.43,2.5,1.25,active
2024-W21,20/05/2024,26/05/2024,2024-05,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,843.32,2910,180,6.2,4.69,289.8,161,9,6.16,6,70.38,3,2.02,2438.24,2,421.66,2.89,1.41,active
2024-W21,20/05/2024,26/05/2024,2024-05,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,708.76,3898,177,4.55,4.0,181.82,164,10,6.62,6,69.14,5,3.31,3656.94,3,236.25,5.16,2.54,active
2024-W21,20/05/2024,26/05/2024,2024-05,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,636.74,2482,139,5.61,4.58,256.53,131,9,7.36,5,56.47,1,1.41,576.09,1,636.74,0.9,0.47,active
2024-W21,20/05/2024,26/05/2024,2024-05,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2207.31,7471,141,1.89,15.65,295.44,130,5,4.02,3,62.85,2,1.64,1465.81,1,2207.31,0.66,0.38,active
2024-W21,20/05/2024,26/05/2024,2024-05,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,825.2,2900,37,1.28,22.3,284.53,35,2,5.96,1,64.56,1,2.32,627.43,1,825.2,0.76,0.41,active
2024-W21,20/05/2024,26/05/2024,2024-05,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1338.8,5071,75,1.49,17.85,263.99,65,3,5.52,1,59.15,2,2.46,1172.72,1,1338.8,0.88,0.53,active
2024-W22,27/05/2024,02/06/2024,2024-05,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1727.37,7493,334,4.46,5.17,230.51,315,17,5.62,12,71.93,10,3.29,5226.41,7,246.77,3.03,1.46,active
2024-W22,27/05/2024,02/06/2024,2024-05,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1539.66,5021,283,5.64,5.44,306.63,263,19,7.34,12,65.02,4,1.83,3213.99,2,769.83,2.09,1.03,active
2024-W22,27/05/2024,02/06/2024,2024-05,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,908.69,4137,270,6.53,3.37,219.6,257,12,5.0,8,67.66,5,2.19,3947.42,3,302.9,4.34,2.67,active
2024-W22,27/05/2024,02/06/2024,2024-05,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,702.33,2245,96,4.3,7.32,312.75,92,5,5.65,2,50.16,1,1.09,752.07,1,702.33,1.07,0.56,active
2024-W22,27/05/2024,02/06/2024,2024-05,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,589.09,3027,163,5.41,3.61,194.55,153,11,7.4,7,67.05,4,2.78,2976.27,2,294.55,5.05,2.47,active
2024-W22,27/05/2024,02/06/2024,2024-05,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2178.47,7607,101,1.34,21.57,286.34,88,5,6.68,3,62.28,2,2.57,1195.19,1,2178.47,0.55,0.32,active
2024-W22,27/05/2024,02/06/2024,2024-05,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,928.13,3027,37,1.23,25.08,306.61,34,1,5.64,0,64.11,1,2.69,695.68,1,928.13,0.75,0.39,active
2024-W22,27/05/2024,02/06/2024,2024-05,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1256.39,3097,42,1.37,29.91,405.61,39,1,4.71,0,51.9,2,3.12,1277.07,1,1256.39,1.02,0.57,active
2024-W23,03/06/2024,09/06/2024,2024-06,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1788.76,7023,295,4.21,6.06,254.69,268,17,6.69,10,62.01,9,3.68,6508.68,7,255.54,3.64,2.18,active
2024-W23,03/06/2024,09/06/2024,2024-06,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1284.96,4554,224,4.92,5.74,282.11,216,12,5.71,7,62.21,2,1.26,1397.99,1,1284.96,1.09,0.67,active
2024-W23,03/06/2024,09/06/2024,2024-06,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,996.55,4475,270,6.04,3.69,222.66,259,12,4.88,7,59.08,7,2.77,3978.0,4,249.14,3.99,2.19,active
2024-W23,03/06/2024,09/06/2024,2024-06,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,756.24,3649,158,4.34,4.79,207.21,150,10,6.91,6,68.73,5,3.6,3291.9,3,252.08,4.35,2.09,active
2024-W23,03/06/2024,09/06/2024,2024-06,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,569.85,3008,123,4.09,4.63,189.43,115,6,5.45,3,57.28,1,1.27,550.01,1,569.85,0.97,0.51,active
2024-W23,03/06/2024,09/06/2024,2024-06,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2411.26,8503,163,1.92,14.79,283.56,151,7,4.72,4,62.85,3,2.54,1844.7,2,1205.63,0.77,0.44,active
2024-W23,03/06/2024,09/06/2024,2024-06,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,793.04,2945,45,1.55,17.62,269.24,42,2,5.24,1,68.48,1,1.29,783.37,1,793.04,0.99,0.51,active
2024-W23,03/06/2024,09/06/2024,2024-06,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1352.54,4811,100,2.08,13.53,281.09,88,5,5.93,3,68.52,2,3.39,1363.17,1,1352.54,1.01,0.61,active
2024-W24,10/06/2024,16/06/2024,2024-06,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1966.9,10314,415,4.03,4.74,190.7,361,19,5.53,9,50.69,9,2.59,6273.1,7,280.99,3.19,1.8,active
2024-W24,10/06/2024,16/06/2024,2024-06,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1214.86,4743,322,6.8,3.77,256.09,295,19,6.6,11,58.05,4,1.55,2959.87,2,607.43,2.44,1.25,active
2024-W24,10/06/2024,16/06/2024,2024-06,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,892.38,3548,177,4.99,5.04,251.46,162,9,6.15,6,68.66,5,3.24,2848.77,3,297.46,3.19,1.7,active
2024-W24,10/06/2024,16/06/2024,2024-06,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,690.97,3369,224,6.65,3.08,205.08,209,15,7.37,9,66.19,4,2.3,2342.58,2,345.49,3.39,1.93,active
2024-W24,10/06/2024,16/06/2024,2024-06,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,537.05,2317,91,3.93,5.9,231.72,81,5,7.13,2,57.95,1,2.26,533.93,1,537.05,0.99,0.55,active
2024-W24,10/06/2024,16/06/2024,2024-06,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2107.11,5840,118,2.03,17.86,360.75,112,7,6.84,3,55.79,2,2.48,1432.21,1,2107.11,0.68,0.4,active
2024-W24,10/06/2024,16/06/2024,2024-06,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,933.12,2410,48,2.03,19.44,387.09,43,3,7.13,1,61.36,1,1.92,666.06,1,933.12,0.71,0.36,active
2024-W24,10/06/2024,16/06/2024,2024-06,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1435.01,4479,63,1.42,22.78,320.37,55,2,3.81,1,64.16,2,1.51,1257.33,1,1435.01,0.88,0.52,active
2024-W25,17/06/2024,23/06/2024,2024-06,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1635.12,7703,479,6.23,3.41,212.25,451,24,5.43,14,60.53,6,1.51,4620.06,3,545.04,2.83,1.69,active
2024-W25,17/06/2024,23/06/2024,2024-06,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1068.43,4104,175,4.28,6.11,260.29,163,5,3.66,3,62.59,1,1.06,574.01,1,1068.43,0.54,0.31,active
2024-W25,17/06/2024,23/06/2024,2024-06,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,921.46,3559,137,3.86,6.73,258.9,129,7,6.15,3,56.24,1,1.15,817.83,1,921.46,0.89,0.49,active
2024-W25,17/06/2024,23/06/2024,2024-06,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,644.66,2176,121,5.6,5.33,296.25,114,7,6.78,3,54.0,3,2.81,2211.77,2,322.33,3.43,2.0,active
2024-W25,17/06/2024,23/06/2024,2024-06,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,593.3,2258,101,4.49,5.87,262.68,91,3,3.93,1,54.45,3,3.39,1937.82,1,593.3,3.27,1.79,active
2024-W25,17/06/2024,23/06/2024,2024-06,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,1986.85,6304,137,2.18,14.5,315.17,119,7,6.64,4,61.07,2,1.24,1118.2,1,1986.85,0.56,0.31,active
2024-W25,17/06/2024,23/06/2024,2024-06,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,970.74,2430,59,2.44,16.45,399.39,55,3,5.59,1,58.15,1,1.03,588.85,1,970.74,0.61,0.33,active
2024-W25,17/06/2024,23/06/2024,2024-06,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1497.29,5054,108,2.14,13.86,296.25,101,6,6.55,3,65.33,2,1.18,1326.28,1,1497.29,0.89,0.53,active
2024-W26,24/06/2024,30/06/2024,2024-06,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1955.11,8900,572,6.43,3.42,219.66,521,22,4.26,14,65.6,16,3.19,8885.58,9,217.23,4.54,2.45,active
2024-W26,24/06/2024,30/06/2024,2024-06,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1244.51,4504,213,4.75,5.84,276.29,193,7,4.12,4,64.33,3,1.64,1941.21,2,622.25,1.56,0.78,active
2024-W26,24/06/2024,30/06/2024,2024-06,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,851.52,3093,187,6.06,4.55,275.28,170,11,6.64,6,60.61,3,1.97,1788.4,2,425.76,2.1,1.14,active
2024-W26,24/06/2024,30/06/2024,2024-06,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,673.85,2417,145,6.01,4.65,278.77,138,8,6.14,5,66.45,3,2.2,1705.62,2,336.93,2.53,1.32,active
2024-W26,24/06/2024,30/06/2024,2024-06,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,585.68,2575,140,5.45,4.18,227.38,131,8,6.33,4,53.54,4,3.7,2189.31,2,292.84,3.74,2.31,active
2024-W26,24/06/2024,30/06/2024,2024-06,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2424.86,7896,102,1.3,23.77,307.08,91,3,3.82,1,50.83,3,2.01,2112.57,2,1212.43,0.87,0.42,active
2024-W26,24/06/2024,30/06/2024,2024-06,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,945.71,2785,75,2.71,12.61,339.49,71,4,6.06,2,59.66,1,1.48,761.17,1,945.71,0.8,0.42,active
2024-W26,24/06/2024,30/06/2024,2024-06,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1243.29,3657,74,2.03,16.8,339.9,66,2,4.18,1,50.79,2,1.59,1134.47,1,1243.29,0.91,0.57,active
2024-W27,01/07/2024,07/07/2024,2024-07,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1920.82,8371,417,4.99,4.61,229.44,387,21,5.57,13,66.21,4,1.1,2421.39,3,640.27,1.26,0.77,active
2024-W27,01/07/2024,07/07/2024,2024-07,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,1319.52,5768,385,6.69,3.43,228.73,345,20,5.93,10,54.28,12,3.6,7179.99,8,164.94,5.44,2.94,active
2024-W27,01/07/2024,07/07/2024,2024-07,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,815.0,4286,200,4.68,4.08,190.13,192,12,6.71,8,71.05,6,3.44,4154.81,4,203.75,5.1,2.58,active
2024-W27,01/07/2024,07/07/2024,2024-07,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,778.3,3006,183,6.11,4.25,258.84,173,12,7.34,7,60.09,3,2.24,1584.62,1,778.3,2.04,1.1,active
2024-W27,01/07/2024,07/07/2024,2024-07,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,537.73,2001,135,6.78,3.98,268.71,126,5,4.42,2,56.95,4,3.67,2091.67,3,179.24,3.89,2.13,active
2024-W27,01/07/2024,07/07/2024,2024-07,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,2067.08,8663,197,2.28,10.49,238.6,187,7,3.8,4,70.49,4,2.28,3153.18,2,1033.54,1.53,0.87,active
2024-W27,01/07/2024,07/07/2024,2024-07,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,996.58,2794,74,2.66,13.47,356.62,68,2,4.3,1,66.18,2,3.43,1161.66,1,996.58,1.17,0.69,active
2024-W27,01/07/2024,07/07/2024,2024-07,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1439.85,5731,78,1.37,18.46,251.2,75,4,6.2,2,64.6,2,2.68,1364.88,1,1439.85,0.95,0.49,active
2024-W28,08/07/2024,14/07/2024,2024-07,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1792.35,6715,354,5.28,5.06,266.89,342,24,7.09,16,69.11,7,2.32,5563.61,4,448.09,3.1,1.5,active
